area,Date,C_025,C_25,C_50,C_75,C_975,provenance
"North East and Yorkshire",2021-04-01, 758.6, 799.0, 822.7, 846.6, 896.5,projected
"North East and Yorkshire",2021-04-02, 721.6, 768.8, 796.1, 824.2, 883.7,projected
"North East and Yorkshire",2021-04-03, 688.4, 740.8, 771.4, 803.2, 871.2,projected
"North East and Yorkshire",2021-04-04, 658.2, 716.1, 748.3, 782.9, 859.8,projected
"North East and Yorkshire",2021-04-05, 634.1, 694.0, 728.5, 766.0, 849.3,projected
"North East and Yorkshire",2021-04-06, 608.6, 674.8, 712.4, 749.9, 842.1,projected
"North East and Yorkshire",2021-04-07, 584.7, 656.1, 696.7, 738.3, 837.4,projected
"North East and Yorkshire",2021-04-08, 561.8, 637.9, 682.5, 726.4, 836.7,projected
"North East and Yorkshire",2021-04-09, 543.0, 620.6, 667.8, 715.1, 832.2,projected
"North East and Yorkshire",2021-04-10, 519.5, 604.0, 652.9, 705.3, 829.6,projected
"North East and Yorkshire",2021-04-11, 497.4, 588.1, 640.2, 697.5, 829.3,projected
"North East and Yorkshire",2021-04-12, 478.1, 575.1, 628.5, 689.9, 830.9,projected
"North East and Yorkshire",2021-04-13, 465.4, 562.9, 618.7, 683.1, 832.8,projected
"North East and Yorkshire",2021-04-14, 449.8, 551.6, 610.4, 677.3, 849.0,projected
"North East and Yorkshire",2021-04-15, 435.6, 540.9, 602.6, 673.5, 857.9,projected
"North East and Yorkshire",2021-04-16, 424.6, 531.0, 596.0, 669.7, 871.3,projected
"North East and Yorkshire",2021-04-17, 412.5, 521.6, 589.2, 667.6, 884.6,projected
"North East and Yorkshire",2021-04-18, 399.9, 511.0, 584.2, 665.6, 900.3,projected
"North East and Yorkshire",2021-04-19, 388.6, 503.6, 579.3, 666.7, 910.5,projected
"North East and Yorkshire",2021-04-20, 375.4, 497.3, 577.3, 669.2, 925.1,projected
"North East and Yorkshire",2021-04-21, 367.6, 491.6, 575.1, 673.8, 945.5,projected
"North West",2021-04-01, 404.3, 430.6, 445.8, 463.4, 497.0,projected
"North West",2021-04-02, 378.0, 408.0, 426.0, 445.7, 485.5,projected
"North West",2021-04-03, 354.5, 387.9, 408.0, 430.0, 473.5,projected
"North West",2021-04-04, 331.7, 369.5, 391.4, 415.5, 464.3,projected
"North West",2021-04-05, 312.6, 352.6, 376.9, 402.6, 454.9,projected
"North West",2021-04-06, 296.2, 337.4, 363.3, 391.0, 449.0,projected
"North West",2021-04-07, 277.5, 323.0, 350.1, 380.7, 443.1,projected
"North West",2021-04-08, 261.4, 309.2, 337.3, 369.8, 439.6,projected
"North West",2021-04-09, 246.9, 295.9, 325.5, 361.2, 437.7,projected
"North West",2021-04-10, 232.0, 283.0, 314.6, 352.7, 433.9,projected
"North West",2021-04-11, 218.8, 270.9, 303.5, 343.6, 427.8,projected
"North West",2021-04-12, 206.8, 261.0, 293.5, 335.4, 423.5,projected
"North West",2021-04-13, 197.2, 251.1, 285.0, 327.9, 423.5,projected
"North West",2021-04-14, 187.0, 241.7, 276.5, 321.1, 424.6,projected
"North West",2021-04-15, 177.7, 232.6, 269.1, 314.2, 421.5,projected
"North West",2021-04-16, 168.4, 224.1, 262.3, 307.6, 421.8,projected
"North West",2021-04-17, 159.5, 215.9, 256.2, 302.3, 424.7,projected
"North West",2021-04-18, 150.6, 207.7, 250.2, 297.6, 426.1,projected
"North West",2021-04-19, 143.3, 201.2, 244.0, 292.7, 429.8,projected
"North West",2021-04-20, 138.1, 194.9, 238.8, 289.5, 433.7,projected
"North West",2021-04-21, 132.0, 188.0, 234.2, 286.5, 442.3,projected
"Midlands",2021-04-01, 680.9, 715.8, 737.9, 759.2, 798.3,projected
"Midlands",2021-04-02, 652.4, 690.0, 714.8, 739.6, 784.8,projected
"Midlands",2021-04-03, 622.9, 665.4, 693.4, 721.0, 771.3,projected
"Midlands",2021-04-04, 598.3, 643.5, 673.4, 703.2, 760.3,projected
"Midlands",2021-04-05, 573.5, 624.0, 657.1, 687.1, 749.6,projected
"Midlands",2021-04-06, 551.3, 604.9, 641.8, 675.1, 738.4,projected
"Midlands",2021-04-07, 529.9, 587.8, 626.6, 663.7, 732.5,projected
"Midlands",2021-04-08, 509.0, 572.1, 613.0, 651.5, 729.2,projected
"Midlands",2021-04-09, 488.0, 555.4, 598.9, 639.7, 723.6,projected
"Midlands",2021-04-10, 469.5, 540.6, 586.6, 629.7, 719.5,projected
"Midlands",2021-04-11, 450.7, 526.1, 574.4, 618.6, 717.3,projected
"Midlands",2021-04-12, 435.7, 514.6, 562.1, 610.6, 712.6,projected
"Midlands",2021-04-13, 420.1, 501.8, 551.5, 602.3, 705.0,projected
"Midlands",2021-04-14, 406.7, 492.0, 542.2, 595.6, 701.7,projected
"Midlands",2021-04-15, 394.0, 480.8, 533.3, 590.1, 704.7,projected
"Midlands",2021-04-16, 382.3, 470.2, 522.9, 585.4, 703.9,projected
"Midlands",2021-04-17, 371.3, 460.7, 513.7, 580.1, 706.7,projected
"Midlands",2021-04-18, 359.2, 450.6, 506.7, 575.9, 709.8,projected
"Midlands",2021-04-19, 347.5, 442.2, 501.1, 572.8, 715.8,projected
"Midlands",2021-04-20, 339.2, 433.8, 497.3, 572.0, 722.6,projected
"Midlands",2021-04-21, 331.8, 426.1, 493.1, 570.8, 730.5,projected
"South West",2021-04-01, 158.5, 171.1, 178.7, 187.1, 205.5,projected
"South West",2021-04-02, 153.2, 166.8, 175.8, 184.8, 205.4,projected
"South West",2021-04-03, 147.2, 163.0, 172.8, 182.4, 205.2,projected
"South West",2021-04-04, 142.7, 159.8, 170.3, 180.4, 206.1,projected
"South West",2021-04-05, 138.9, 156.9, 168.0, 179.1, 206.7,projected
"South West",2021-04-06, 135.0, 154.3, 165.7, 178.6, 206.6,projected
"South West",2021-04-07, 131.2, 151.4, 164.0, 178.1, 210.2,projected
"South West",2021-04-08, 127.7, 149.3, 162.8, 177.9, 211.4,projected
"South West",2021-04-09, 124.5, 146.7, 161.8, 178.1, 213.8,projected
"South West",2021-04-10, 120.1, 144.5, 160.6, 178.0, 217.8,projected
"South West",2021-04-11, 115.9, 142.9, 159.8, 178.0, 221.2,projected
"South West",2021-04-12, 113.1, 141.7, 158.7, 178.1, 228.2,projected
